timestamp,unix_ms,topic,measurement,payload_raw,value,is_numeric,qos,retain
2026-07-03T20:55:53.895014+00:00,1783112153895,aut/SoSe26/vier_gewinnt/$groupsname,$groupsname,vier_gewinnt,,False,0,True
2026-07-03T20:55:53.900366+00:00,1783112153900,aut/SoSe26/vier_gewinnt/names,names,"Brieger, Kramer, Gneuss",,False,0,True
2026-07-03T20:55:53.904420+00:00,1783112153904,aut/SoSe26/vier_gewinnt/iBandFullmenge1/$unit,iBandFullmenge1/$unit,1,1.0,True,0,True
2026-07-03T20:55:53.907882+00:00,1783112153907,aut/SoSe26/vier_gewinnt/rPcntFillLevel/$unit,rPcntFillLevel/$unit,%,,False,0,True
2026-07-03T20:55:53.911418+00:00,1783112153911,aut/SoSe26/vier_gewinnt/iFillLevel1,iFillLevel1,0,0.0,True,0,True
2026-07-03T20:55:53.915096+00:00,1783112153915,aut/SoSe26/vier_gewinnt/iFillLevel1/$unit,iFillLevel1/$unit,1,1.0,True,0,True
2026-07-03T20:55:53.918082+00:00,1783112153918,aut/SoSe26/vier_gewinnt/iFillLevel2,iFillLevel2,0,0.0,True,0,True
2026-07-03T20:55:53.921268+00:00,1783112153921,aut/SoSe26/vier_gewinnt/iFillLevel2/$unit,iFillLevel2/$unit,1,1.0,True,0,True
2026-07-03T20:55:53.924175+00:00,1783112153924,aut/SoSe26/vier_gewinnt/iFillLevel3,iFillLevel3,0,0.0,True,0,True
2026-07-03T20:55:53.927126+00:00,1783112153927,aut/SoSe26/vier_gewinnt/iFillLevel3/$unit,iFillLevel3/$unit,1,1.0,True,0,True
2026-07-03T20:55:59.970551+00:00,1783112159970,aut/SoSe26/vier_gewinnt/iFillLevel1,iFillLevel1,0,0.0,True,0,False
2026-07-03T20:56:00.066670+00:00,1783112160066,aut/SoSe26/vier_gewinnt/iFillLevel2,iFillLevel2,0,0.0,True,0,False
2026-07-03T20:56:00.070956+00:00,1783112160070,aut/SoSe26/vier_gewinnt/iFillLevel3,iFillLevel3,0,0.0,True,0,False
2026-07-03T20:56:20.039623+00:00,1783112180039,aut/SoSe26/vier_gewinnt/iFillLevel1,iFillLevel1,0,0.0,True,0,False
2026-07-03T20:56:20.133499+00:00,1783112180133,aut/SoSe26/vier_gewinnt/iFillLevel2,iFillLevel2,0,0.0,True,0,False
2026-07-03T20:56:20.224254+00:00,1783112180224,aut/SoSe26/vier_gewinnt/iFillLevel3,iFillLevel3,0,0.0,True,0,False
2026-07-03T20:56:30.076471+00:00,1783112190076,aut/SoSe26/vier_gewinnt/iFillLevel1,iFillLevel1,0,0.0,True,0,False
2026-07-03T20:56:30.177341+00:00,1783112190177,aut/SoSe26/vier_gewinnt/iFillLevel2,iFillLevel2,0,0.0,True,0,False
2026-07-03T20:56:30.181722+00:00,1783112190181,aut/SoSe26/vier_gewinnt/iFillLevel3,iFillLevel3,0,0.0,True,0,False
2026-07-03T20:56:30.998677+00:00,1783112190998,aut/SoSe26/vier_gewinnt/iFillLevel1,iFillLevel1,0,0.0,True,0,False
2026-07-03T20:56:31.092056+00:00,1783112191092,aut/SoSe26/vier_gewinnt/iFillLevel2,iFillLevel2,0,0.0,True,0,False
